id_pengguna,tanggal,bulan,tahun,Kota,Kategori,pendapatan_bulanan,jumlah_pengeluaran,status_user
USR000001,6/1/2025,6,2025,Makassar,Perumahan,13788000,628000,Normal
USR000001,6/3/2025,6,2025,Makassar,Makanan,13788000,563000,Normal
USR000001,6/6/2025,6,2025,Makassar,Hiburan,13788000,380000,Normal
USR000001,6/6/2025,6,2025,Makassar,Sosial,13788000,238000,Normal
USR000001,6/7/2025,6,2025,Makassar,Hewan Peliharaan,13788000,254000,Normal
USR000001,6/7/2025,6,2025,Makassar,Sosial,13788000,225000,Normal
USR000001,6/8/2025,6,2025,Makassar,Elektronik,13788000,502000,Normal
USR000001,6/8/2025,6,2025,Makassar,Makanan,13788000,604000,Normal
USR000001,6/8/2025,6,2025,Makassar,Pakaian,13788000,361000,Normal
USR000001,6/10/2025,6,2025,Makassar,Tagihan,13788000,711000,Normal
USR000001,6/15/2025,6,2025,Makassar,Hewan Peliharaan,13788000,221000,Normal
USR000001,6/15/2025,6,2025,Makassar,Kesehatan,13788000,352000,Normal
USR000001,6/19/2025,6,2025,Makassar,Belanja,13788000,454000,Normal
USR000001,6/19/2025,6,2025,Makassar,Belanja,13788000,408000,Normal
USR000001,6/19/2025,6,2025,Makassar,Pendidikan,13788000,372000,Normal
USR000001,6/20/2025,6,2025,Makassar,Olahraga,13788000,246000,Normal
USR000001,6/20/2025,6,2025,Makassar,Transportasi,13788000,357000,Normal
USR000001,6/21/2025,6,2025,Makassar,Anak-Anak,13788000,396000,Normal
USR000001,6/29/2025,6,2025,Makassar,Pakaian,13788000,320000,Normal
USR000001,6/30/2025,6,2025,Makassar,Traveling,13788000,389000,Normal
USR000001,7/1/2025,7,2025,Makassar,Sosial,13788000,265000,Normal
USR000001,7/4/2025,7,2025,Makassar,Hiburan,13788000,468000,Normal
USR000001,7/5/2025,7,2025,Makassar,Traveling,13788000,566000,Normal
USR000001,7/8/2025,7,2025,Makassar,Tagihan,13788000,713000,Normal
USR000001,7/9/2025,7,2025,Makassar,Olahraga,13788000,317000,Normal
USR000001,7/9/2025,7,2025,Makassar,Traveling,13788000,435000,Normal
USR000001,7/11/2025,7,2025,Makassar,Perumahan,13788000,1119000,Normal
USR000001,7/14/2025,7,2025,Makassar,Hewan Peliharaan,13788000,250000,Normal
USR000001,7/14/2025,7,2025,Makassar,Kesehatan,13788000,383000,Normal
USR000001,7/14/2025,7,2025,Makassar,Pakaian,13788000,499000,Normal
USR000001,7/19/2025,7,2025,Makassar,Belanja,13788000,699000,Normal
USR000001,7/21/2025,7,2025,Makassar,Transportasi,13788000,526000,Normal
USR000001,7/22/2025,7,2025,Makassar,Hewan Peliharaan,13788000,320000,Normal
USR000001,7/22/2025,7,2025,Makassar,Makanan,13788000,498000,Normal
USR000001,7/22/2025,7,2025,Makassar,Pendidikan,13788000,715000,Normal
USR000001,7/23/2025,7,2025,Makassar,Elektronik,13788000,598000,Normal
USR000001,7/23/2025,7,2025,Makassar,Pakaian,13788000,312000,Normal
USR000001,7/25/2025,7,2025,Makassar,Transportasi,13788000,580000,Normal
USR000001,7/26/2025,7,2025,Makassar,Anak-Anak,13788000,507000,Normal
USR000001,7/26/2025,7,2025,Makassar,Sosial,13788000,266000,Normal
USR000001,7/29/2025,7,2025,Makassar,Makanan,13788000,632000,Normal
USR000001,7/31/2025,7,2025,Makassar,Anak-Anak,13788000,466000,Normal
USR000001,8/1/2025,8,2025,Makassar,Hiburan,13788000,328000,Normal
USR000001,8/1/2025,8,2025,Makassar,Tagihan,13788000,564000,Normal
USR000001,8/2/2025,8,2025,Makassar,Makanan,13788000,580000,Normal
USR000001,8/4/2025,8,2025,Makassar,Belanja,13788000,480000,Normal
USR000001,8/6/2025,8,2025,Makassar,Makanan,13788000,670000,Normal
USR000001,8/8/2025,8,2025,Makassar,Hewan Peliharaan,13788000,211000,Normal
USR000001,8/14/2025,8,2025,Makassar,Transportasi,13788000,522000,Normal
USR000001,8/15/2025,8,2025,Makassar,Traveling,13788000,420000,Normal
USR000001,8/16/2025,8,2025,Makassar,Perumahan,13788000,853000,Normal
USR000001,8/17/2025,8,2025,Makassar,Anak-Anak,13788000,324000,Normal
USR000001,8/18/2025,8,2025,Makassar,Hewan Peliharaan,13788000,296000,Normal
USR000001,8/18/2025,8,2025,Makassar,Kesehatan,13788000,302000,Normal
USR000001,8/18/2025,8,2025,Makassar,Sosial,13788000,267000,Normal
USR000001,8/19/2025,8,2025,Makassar,Elektronik,13788000,435000,Normal
USR000001,8/19/2025,8,2025,Makassar,Hiburan,13788000,295000,Normal
USR000001,8/19/2025,8,2025,Makassar,Sosial,13788000,236000,Normal
USR000001,8/22/2025,8,2025,Makassar,Pakaian,13788000,263000,Normal
USR000001,8/28/2025,8,2025,Makassar,Pakaian,13788000,286000,Normal
USR000001,8/30/2025,8,2025,Makassar,Pendidikan,13788000,466000,Normal
USR000001,8/31/2025,8,2025,Makassar,Olahraga,13788000,239000,Normal
USR000001,9/2/2025,9,2025,Makassar,Anak-Anak,13788000,358000,Normal
USR000001,9/7/2025,9,2025,Makassar,Kesehatan,13788000,321000,Normal
USR000001,9/8/2025,9,2025,Makassar,Perumahan,13788000,574000,Normal
USR000001,9/9/2025,9,2025,Makassar,Hiburan,13788000,312000,Normal
USR000001,9/9/2025,9,2025,Makassar,Pendidikan,13788000,390000,Normal
USR000001,9/10/2025,9,2025,Makassar,Kesehatan,13788000,250000,Normal
USR000001,9/12/2025,9,2025,Makassar,Tagihan,13788000,487000,Normal
USR000001,9/13/2025,9,2025,Makassar,Transportasi,13788000,350000,Normal
USR000001,9/14/2025,9,2025,Makassar,Olahraga,13788000,233000,Normal
USR000001,9/14/2025,9,2025,Makassar,Traveling,13788000,344000,Normal
USR000001,9/17/2025,9,2025,Makassar,Hewan Peliharaan,13788000,275000,Normal
USR000001,9/17/2025,9,2025,Makassar,Hiburan,13788000,210000,Normal
USR000001,9/17/2025,9,2025,Makassar,Pakaian,13788000,253000,Normal
USR000001,9/18/2025,9,2025,Makassar,Elektronik,13788000,485000,Normal
USR000001,9/19/2025,9,2025,Makassar,Anak-Anak,13788000,302000,Normal
USR000001,9/22/2025,9,2025,Makassar,Perumahan,13788000,549000,Normal
USR000001,9/22/2025,9,2025,Makassar,Sosial,13788000,329000,Normal
USR000001,9/23/2025,9,2025,Makassar,Belanja,13788000,388000,Normal
USR000001,9/24/2025,9,2025,Makassar,Olahraga,13788000,275000,Normal
USR000001,9/24/2025,9,2025,Makassar,Pendidikan,13788000,318000,Normal
USR000001,9/25/2025,9,2025,Makassar,Makanan,13788000,535000,Normal
USR000001,9/27/2025,9,2025,Makassar,Elektronik,13788000,329000,Normal
USR000001,9/30/2025,9,2025,Makassar,Hewan Peliharaan,13788000,183000,Normal
USR000001,10/1/2025,10,2025,Makassar,Tagihan,13788000,746000,Normal
USR000001,10/2/2025,10,2025,Makassar,Belanja,13788000,350000,Normal
USR000001,10/2/2025,10,2025,Makassar,Tagihan,13788000,436000,Normal
USR000001,10/7/2025,10,2025,Makassar,Belanja,13788000,344000,Normal
USR000001,10/8/2025,10,2025,Makassar,Makanan,13788000,543000,Normal
USR000001,10/8/2025,10,2025,Makassar,Sosial,13788000,311000,Normal
USR000001,10/9/2025,10,2025,Makassar,Elektronik,13788000,325000,Normal
USR000001,10/9/2025,10,2025,Makassar,Kesehatan,13788000,441000,Normal
USR000001,10/9/2025,10,2025,Makassar,Sosial,13788000,264000,Normal
USR000001,10/10/2025,10,2025,Makassar,Transportasi,13788000,338000,Normal
USR000001,10/11/2025,10,2025,Makassar,Hiburan,13788000,377000,Normal
USR000001,10/11/2025,10,2025,Makassar,Pakaian,13788000,245000,Normal
USR000001,10/11/2025,10,2025,Makassar,Traveling,13788000,500000,Normal
USR000001,10/13/2025,10,2025,Makassar,Hewan Peliharaan,13788000,215000,Normal
USR000001,10/17/2025,10,2025,Makassar,Hiburan,13788000,334000,Normal
USR000001,10/17/2025,10,2025,Makassar,Olahraga,13788000,222000,Normal
USR000001,10/20/2025,10,2025,Makassar,Pakaian,13788000,327000,Normal
USR000001,10/21/2025,10,2025,Makassar,Perumahan,13788000,848000,Normal
USR000001,10/25/2025,10,2025,Makassar,Anak-Anak,13788000,331000,Normal
USR000001,10/25/2025,10,2025,Makassar,Pendidikan,13788000,482000,Normal
USR000001,10/26/2025,10,2025,Makassar,Hewan Peliharaan,13788000,273000,Normal
USR000001,10/27/2025,10,2025,Makassar,Traveling,13788000,374000,Normal
USR000001,10/29/2025,10,2025,Makassar,Transportasi,13788000,499000,Normal
USR000001,10/30/2025,10,2025,Makassar,Makanan,13788000,638000,Normal
USR000001,11/1/2025,11,2025,Makassar,Tagihan,13788000,464000,Normal
USR000001,11/3/2025,11,2025,Makassar,Anak-Anak,13788000,187000,Normal
USR000001,11/4/2025,11,2025,Makassar,Hiburan,13788000,217000,Normal
USR000001,11/5/2025,11,2025,Makassar,Elektronik,13788000,345000,Normal
USR000001,11/7/2025,11,2025,Makassar,Traveling,13788000,220000,Normal
USR000001,11/8/2025,11,2025,Makassar,Belanja,13788000,330000,Normal
USR000001,11/10/2025,11,2025,Makassar,Kesehatan,13788000,266000,Normal
USR000001,11/11/2025,11,2025,Makassar,Sosial,13788000,145000,Normal
USR000001,11/12/2025,11,2025,Makassar,Elektronik,13788000,278000,Normal
USR000001,11/12/2025,11,2025,Makassar,Perumahan,13788000,507000,Normal
USR000001,11/13/2025,11,2025,Makassar,Hewan Peliharaan,13788000,157000,Normal
USR000001,11/13/2025,11,2025,Makassar,Pendidikan,13788000,332000,Normal
USR000001,11/15/2025,11,2025,Makassar,Tagihan,13788000,486000,Normal
USR000001,11/16/2025,11,2025,Makassar,Olahraga,13788000,186000,Normal
USR000001,11/17/2025,11,2025,Makassar,Pakaian,13788000,175000,Normal
USR000001,11/18/2025,11,2025,Makassar,Olahraga,13788000,173000,Normal
USR000001,11/22/2025,11,2025,Makassar,Transportasi,13788000,327000,Normal
USR000001,11/23/2025,11,2025,Makassar,Kesehatan,13788000,265000,Normal
USR000001,11/23/2025,11,2025,Makassar,Makanan,13788000,392000,Normal
USR000001,11/24/2025,11,2025,Makassar,Hiburan,13788000,186000,Normal
USR000001,11/25/2025,11,2025,Makassar,Sosial,13788000,146000,Normal
USR000001,11/26/2025,11,2025,Makassar,Transportasi,13788000,370000,Normal
USR000001,11/29/2025,11,2025,Makassar,Makanan,13788000,469000,Normal
USR000001,12/2/2025,12,2025,Makassar,Pendidikan,13788000,543000,Normal
USR000001,12/3/2025,12,2025,Makassar,Pakaian,13788000,279000,Normal
USR000001,12/5/2025,12,2025,Makassar,Anak-Anak,13788000,415000,Normal
USR000001,12/5/2025,12,2025,Makassar,Perumahan,13788000,538000,Normal
USR000001,12/6/2025,12,2025,Makassar,Sosial,13788000,199000,Normal
